County                        Election-Day-Votes-DJT            Absentee-by-Mail-Votes-DJT        Advanced-Voting-Votes-DJT         Provisional-Votes-DJT             Choice-Total-DJT                  Election-Day-Votes-JRB            Absentee-by-Mail-Votes-JRB        Advanced-Voting-Votes-JRB         Provisional-Votes-JRB             Choice-Total-JRB                  Election-Day-Votes-JJ            Absentee-by-Mail-Votes-JJ        Advanced-Voting-Votes-JJ         Provisional-Votes-JJ             Choice-Total-JJ                  Total                         
Fayette                       6352                          7382                          24162                         56                            37952                         3400                          11152                         18443                         70                            33065                         279                           232                           463                           2                             976                           71993                         
Floyd                         7897                          4436                          16678                         112                           29123                         2154                          3976                          5820                          58                            12008                         199                           98                            220                           0                             517                           41648                         
Forsyth                       9740                          14612                         60739                         31                            85122                         3375                          15682                         23125                         21                            42203                         415                           477                           1087                          1                             1980                          129305                        
Franklin                      2299                          1404                          5364                          2                             9069                          348                           598                           647                           0                             1593                          31                            25                            47                            0                             103                           10765                         
Fulton                        19552                         29479                         87293                         916                           137240                        38143                         115788                        224688                        2525                          381144                        1448                          1727                          3004                          96                            6275                          524659                        
Gilmer                        4371                          2183                          6863                          12                            13429                         453                           1270                          1209                          0                             2932                          64                            35                            64                            1                             164                           16525                         
Glascock                      403                           205                           795                           0                             1403                          40                            53                            62                            0                             155                           3                             1                             4                             0                             8                             1566                          
Glynn                         4701                          4388                          16492                         35                            25616                         2153                          5735                          7969                          22                            15879                         149                           105                           234                           1                             489                           41984                         
Gordon                        6986                          2538                          9866                          15                            19405                         1003                          1464                          1916                          1                             4384                          107                           51                            86                            0                             244                           24033                         
Grady                         2028                          1103                          3896                          7                             7034                          635                           1112                          1861                          11                            3619                          25                            11                            18                            0                             54                            10707                         
Greene                        844                           1275                          4947                          2                             7068                          583                           1532                          1965                          8                             4088                          21                            19                            51                            0                             91                            11247                         
Gwinnett                      35271                         40396                         90472                         274                           166413                        35793                         81502                         124125                        407                           241827                        1742                          1679                          2186                          18                            5625                          413865                        
Habersham                     2628                          2905                          11083                         21                            16637                         511                           1315                          1733                          4                             3563                          64                            42                            126                           0                             232                           20432                         
Hall                          11111                         12005                         40999                         55                            64170                         3847                          9215                          11951                         18                            25031                         402                           305                           611                           4                             1322                          90523                         
Hancock                       274                           244                           641                           0                             1159                          624                           1223                          1135                          3                             2985                          10                            7                             4                             0                             21                            4165                          
Haralson                      4317                          1786                          6224                          4                             12331                         375                           671                           746                           0                             1792                          55                            30                            40                            0                             125                           14248                         
Harris                        5592                          2087                          6627                          13                            14319                         1278                          2067                          2106                          6                             5457                          103                           62                            50                            0                             215                           19991                         
Hart                          2338                          1437                          5687                          2                             9464                          560                           1128                          1467                          2                             3157                          43                            20                            43                            0                             106                           12727                         
Heard                         1641                          677                           2197                          1                             4516                          184                           296                           343                           1                             824                           21                            11                            19                            0                             51                            5391                          
Henry                         8143                          8134                          31879                         31                            48187                         8191                          20858                         44156                         71                            73276                         322                           310                           645                           2                             1279                          122742                        
Houston                       11644                         8163                          21677                         50                            41534                         6349                          11867                         13970                         46                            32232                         422                           294                           339                           2                             1057                          74823                         
Irwin                         655                           369                           2106                          4                             3134                          227                           257                           523                           1                             1008                          8                             1                             17                            0                             26                            4168                          
Jackson                       4961                          4395                          20135                         6                             29497                         1053                          2797                          3791                          1                             7642                          157                           116                           258                           0                             531                           37670                         
Jasper                        1547                          808                           3455                          12                            5822                          294                           680                           785                           2                             1761                          22                            18                            21                            0                             61                            7644                          
Jeff-Davis                    1418                          528                           2749                          0                             4695                          248                           273                           507                           0                             1028                          18                            13                            17                            0                             48                            5771                          
Jefferson                     1096                          446                           1992                          3                             3537                          1056                          1274                          1723                          8                             4061                          18                            6                             20                            0                             44                            7642                          
Jenkins                       579                           335                           1244                          3                             2161                          292                           416                           557                           1                             1266                          15                            5                             8                             0                             28                            3455                          
Johnson                       771                           331                           1748                          0                             2850                          209                           420                           593                           0                             1222                          9                             6                             13                            0                             28                            4100                          
Jones                         3023                          1272                          5666                          4                             9965                          841                           1689                          2356                          2                             4888                          47                            18                            47                            1                             113                           14966                         
Lamar                         1743                          807                           3772                          8                             6330                          472                           936                           1204                          3                             2615                          40                            14                            40                            0                             94                            9039                          
Lanier                        481                           250                           1778                          0                             2509                          204                           298                           517                           0                             1019                          13                            10                            25                            0                             48                            3576                          
Laurens                       5660                          2351                          6479                          3                             14493                         1884                          2735                          3451                          3                             8073                          62                            38                            63                            0                             163                           22729                         
Lee                           3054                          1221                          7728                          4                             12007                         895                           1243                          2418                          2                             4558                          62                            19                            68                            0                             149                           16714                         
Liberty                       1704                          1311                          4941                          3                             7959                          1666                          4301                          7129                          3                             13099                         102                           93                            136                           0                             331                           21389                         
Lincoln                       904                           442                           1832                          1                             3179                          265                           628                           540                           2                             1435                          13                            10                            13                            0                             36                            4650                          
Long                          1126                          290                           2102                          10                            3528                          379                           500                           1148                          6                             2033                          33                            14                            48                            0                             95                            5656                          
Lowndes                       5351                          3379                          16795                         166                           25691                         2892                          5929                          11017                         279                           20117                         168                           122                           249                           8                             547                           46355                         
Lumpkin                       2002                          2022                          8138                          1                             12163                         332                           1245                          1549                          0                             3126                          63                            48                            131                           0                             242                           15531                         
Macon                         348                           139                           1296                          0                             1783                          692                           706                           1459                          0                             2857                          10                            2                             10                            0                             22                            4662                          
Madison                       3502                          1718                          6103                          3                             11326                         740                           1192                          1478                          1                             3411                          83                            40                            77                            0                             200                           14937                         
Marion                        759                           295                           1221                          0                             2275                          220                           471                           620                           0                             1311                          12                            6                             20                            0                             38                            3624                          
McDuffie                      826                           898                           4445                          0                             6169                          600                           1522                          2046                          0                             4168                          40                            23                            55                            0                             118                           10455                         
McIntosh                      810                           834                           2371                          1                             4016                          442                           853                           1317                          0                             2612                          34                            15                            19                            0                             68                            6696                          
Meriwether                    2230                          980                           3312                          2                             6524                          1189                          1489                          1604                          5                             4287                          25                            17                            24                            0                             66                            10877                         
Miller                        530                           264                           1269                          3                             2066                          174                           221                           354                           0                             749                           7                             2                             11                            0                             20                            2835                          
Mitchell                      1551                          681                           2701                          2                             4935                          818                           1499                          1673                          5                             3995                          17                            9                             7                             0                             33                            8963                          
Monroe                        3102                          1062                          6890                          6                             11060                         690                           1372                          2320                          2                             4384                          52                            27                            69                            0                             148                           15592                         
Montgomery                    1109                          356                           1495                          0                             2960                          250                           310                           419                           0                             979                           12                            3                             12                            0                             27                            3966                          
Morgan                        1865                          938                           5424                          3                             8230                          496                           1042                          1815                          2                             3355                          50                            19                            53                            0                             122                           11707                         
Murray                        3893                          1361                          7689                          0                             12943                         530                           679                           1093                          0                             2302                          50                            22                            72                            0                             144                           15389                         
Muscogee                      6527                          6399                          17106                         17                            30049                         6579                          17690                         25227                         33                            49529                         305                           261                           397                           2                             965                           80543                         
Newton                        10888                         4860                          8103                          18                            23869                         6745                          10471                         12556                         22                            29794                         289                           158                           129                           0                             576                           54239                         
Oconee                        2680                          2696                          11216                         3                             16595                         723                           2993                          4444                          2                             8162                          113                           76                            222                           0                             411                           25168                         
Oglethorpe                    1061                          946                           3584                          2                             5593                          417                           868                           1150                          1                             2436                          26                            28                            47                            1                             102                           8131                          
Paulding                      9710                          9582                          35174                         59                            54525                         3763                          10525                         15376                         40                            29704                         327                           278                           550                           1                             1156                          85385                         
Peach                         954                           810                           4728                          10                            6502                          809                           1741                          3364                          6                             5920                          44                            12                            66                            1                             123                           12545                         
Pickens                       5994                          1786                          6287                          8                             14075                         645                           1119                          1044                          0                             2808                          135                           34                            64                            0                             233                           17116                         
Pierce                        1208                          923                           5768                          0                             7899                          122                           368                           610                           0                             1100                          14                            6                             29                            0                             49                            9048                          
Pike                          2341                          919                           5864                          3                             9127                          285                           523                           695                           2                             1505                          27                            20                            41                            0                             88                            10720                         
Polk                          2849                          1707                          9021                          12                            13589                         607                           1088                          1957                          6                             3658                          58                            24                            67                            3                             152                           17399                         
Pulaski                       336                           313                           2155                          1                             2805                          165                           337                           715                           0                             1217                          10                            9                             18                            0                             37                            4059                          
Putnam                        1547                          1760                          4983                          1                             8291                          470                           1478                          1500                          0                             3448                          35                            34                            47                            0                             116                           11855                         
Quitman                       163                           88                            353                           0                             604                           163                           137                           196                           1                             497                           3                             1                             1                             0                             5                             1106                          
Rabun                         1207                          1663                          4604                          0                             7474                          199                           888                           897                           0                             1984                          28                            33                            49                            0                             110                           9568                          
Randolph                      321                           214                           856                           0                             1391                          402                           464                           802                           3                             1671                          6                             2                             4                             0                             12                            3074                          
Richmond                      8584                          6233                          11931                         33                            26781                         11843                         21348                         25780                         153                           59124                         428                           322                           359                           2                             1111                          87016                         
Rockdale                      2526                          3005                          7466                          15                            13012                         3543                          9429                          18248                         24                            31244                         126                           115                           189                           0                             430                           44686                         
Schley                        304                           154                           1341                          1                             1800                          65                            157                           240                           0                             462                           4                             3                             6                             0                             13                            2275                          
Screven                       1260                          505                           2140                          11                            3916                          601                           789                           1264                          7                             2661                          24                            5                             22                            0                             51                            6628                          
Seminole                      944                           277                           1390                          0                             2611                          294                           269                           691                           0                             1254                          15                            1                             3                             0                             19                            3884                          
Spalding                      5234                          3490                          8801                          532                           18057                         2554                          4264                          4600                          366                           11784                         132                           53                            78                            12                            275                           30116                         
Stephens                      1234                          1365                          6765                          4                             9368                          291                           806                           1288                          0                             2385                          33                            24                            75                            0                             132                           11885                         
Stewart                       229                           105                           462                           5                             801                           292                           378                           505                           7                             1182                          2                             2                             3                             0                             7                             1990                          
Sumter                        1524                          837                           3358                          13                            5732                          1139                          2023                          3150                          6                             6318                          26                            18                            56                            0                             100                           12150                         
Talbot                        464                           241                           686                           1                             1392                          541                           955                           618                           0                             2114                          9                             2                             5                             0                             16                            3522                          
Taliaferro                    96                            64                            200                           0                             360                           100                           237                           223                           1                             561                           4                             1                             2                             0                             7                             928                           
Tattnall                      1536                          818                           3699                          0                             6053                          412                           546                           1103                          0                             2061                          34                            10                            25                            0                             69                            8183                          
Taylor                        349                           292                           1764                          13                            2418                          272                           489                           624                           2                             1387                          13                            3                             18                            0                             34                            3839                          
Telfair                       958                           358                           1506                          3                             2825                          317                           618                           545                           7                             1487                          10                            2                             9                             0                             21                            4333                          
Terrell                       665                           270                           1069                          0                             2004                          567                           839                           969                           1                             2376                          15                            12                            9                             0                             36                            4416                          
Thomas                        2718                          1670                          8565                          1                             12954                         1473                          2412                          4819                          4                             8708                          65                            35                            91                            0                             191                           21853                         
Tift                          2721                          1221                          6833                          9                             10784                         1110                          1464                          2732                          16                            5322                          54                            33                            88                            2                             177                           16283                         
Toombs                        1797                          1217                          4852                          6                             7872                          569                           1078                          1288                          4                             2939                          49                            16                            38                            0                             103                           10914                         
Towns                         984                           1227                          4165                          8                             6384                          118                           711                           720                           1                             1550                          17                            10                            18                            0                             45                            7979                          
Treutlen                      418                           274                           1409                          0                             2101                          123                           303                           526                           0                             952                           10                            4                             10                            0                             24                            3077                          
Troup                         4673                          2905                          10519                         46                            18143                         2809                          3459                          5276                          34                            11578                         139                           60                            129                           0                             328                           30049                         
Turner                        377                           233                           1738                          1                             2349                          332                           289                           788                           1                             1410                          6                             5                             22                            0                             33                            3792                          
Twiggs                        841                           310                           1219                          0                             2370                          426                           736                           878                           4                             2044                          15                            7                             8                             0                             30                            4444                          
Union                         3400                          2232                          7008                          11                            12651                         300                           1303                          1198                          0                             2801                          49                            23                            36                            0                             108                           15560                         
Upson                         1364                          1175                          6063                          6                             8608                          646                           1572                          1983                          0                             4201                          28                            20                            48                            0                             96                            12905                         
Walker                        5560                          3517                          14089                         8                             23174                         994                           2206                          2567                          2                             5769                          162                           76                            173                           0                             411                           29354                         
Walton                        9202                          6031                          22594                         15                            37842                         2145                          4254                          6272                          11                            12682                         225                           111                           235                           0                             571                           51095                         
Ware                          2577                          1368                          5900                          20                            9865                          563                           1556                          2066                          26                            4211                          46                            17                            52                            1                             116                           14192                         
Warren                        190                           205                           771                           0                             1166                          297                           540                           632                           0                             1469                          6                             1                             9                             0                             16                            2651                          
Washington                    1481                          719                           2458                          5                             4663                          1071                          1811                          1843                          5                             4730                          25                            14                            27                            0                             66                            9459                          
Wayne                         2495                          1354                          6131                          7                             9987                          460                           736                           1489                          2                             2687                          35                            16                            53                            0                             104                           12778                         
Webster                       139                           121                           488                           0                             748                           142                           227                           270                           0                             639                           0                             2                             1                             0                             3                             1390                          
Wheeler                       438                           202                           943                           0                             1583                          197                           195                           297                           0                             689                           5                             1                             7                             0                             13                            2285                          
White                         3448                          2088                          6680                          6                             12222                         372                           973                           1066                          0                             2411                          80                            27                            76                            0                             183                           14816                         
Whitfield                     8963                          3544                          13084                         45                            25636                         2814                          2840                          4997                          19                            10670                         194                           84                            162                           0                             440                           36746                         
Wilcox                        743                           343                           1317                          0                             2403                          285                           212                           365                           0                             862                           8                             2                             6                             0                             16                            3281                          
Wilkes                        704                           467                           1649                          3                             2823                          504                           755                           897                           4                             2160                          16                            10                            20                            0                             46                            5029                          
Wilkinson                     1293                          259                           1109                          3                             2664                          528                           602                           942                           3                             2075                          17                            4                             10                            0                             31                            4770                          
Worth                         2779                          766                           3285                          0                             6830                          581                           820                           994                           0                             2395                          22                            10                            28                            0                             60                            9285                          
